gene pos_mean pos_sd pos_sCV Fano_pos neg_mean neg_sd neg_sCV Fano_neg
Ctnnbl1 0.1895 0.5766 9.2551 1.7541 0.1813 0.5166 8.1211 1.4723
Lbp 0.1626 0.5498 11.4319 1.8591 0.2349 0.5882 6.2707 1.4729
Top1 0.2386 0.6554 7.5449 1.8004 0.3504 0.7193 4.2132 1.4764
Srsf6 0.6411 0.9765 2.3204 1.4876 0.7293 0.9416 1.6669 1.2157
Oser1 0.4774 0.8955 3.5189 1.6798 0.3711 0.7259 3.8273 1.4202
Serinc3 1.3546 1.2364 0.8331 1.1286 0.7532 0.9711 1.6622 1.252
Pkig 0.3285 0.7858 5.7204 1.8793 0.2616 0.6452 6.0813 1.5911
Ywhab 0.423 0.8357 3.9039 1.6512 0.5264 0.8412 2.5537 1.3443
Slpi 3.2249 1.4445 0.2006 0.6471 3.3893 1.3365 0.1555 0.527
Sys1 0.4879 0.912 3.4947 1.7049 0.6147 0.901 2.1481 1.3205
Pigt 0.3063 0.707 5.3276 1.6319 0.2842 0.6306 4.9234 1.3992
Ube2c 0.4335 0.9663 4.9685 2.1538 0.3803 0.8977 5.572 2.119
Ctsa 0.4944 0.9237 3.491 1.7259 0.5469 0.9002 2.7086 1.4815
Pcif1 0.4656 0.8843 3.6079 1.6797 0.3381 0.7072 4.375 1.4792
Mmp9 0.1307 0.5325 16.5903 2.1691 0.3693 0.866 5.4995 2.0308
Slc35c2 0.2449 0.6546 7.1451 1.7498 0.3237 0.6876 4.5112 1.4604
Zfos1 0.1662 0.5508 10.9859 1.8255 0.2165 0.5747 7.0491 1.5259
Cebpb 2.5735 1.2485 0.2353 0.6056 2.8736 1.0294 0.1283 0.3688
Ptpn1 0.194 0.6169 10.1122 1.9616 0.3305 0.7355 4.9512 1.6365
Dpm1 0.3668 0.7786 4.5057 1.6527 0.3331 0.6919 4.314 1.437
Pfdn4 0.2588 0.6758 6.8181 1.7645 0.2661 0.627 5.552 1.4775
Rtfdc1 0.4172 0.8383 4.0366 1.6842 0.4334 0.7786 3.227 1.3986
Rae1 0.2929 0.7057 5.8059 1.7003 0.2625 0.6069 5.3445 1.4029
Rbm38 0.3032 0.729 5.7802 1.7526 0.3737 0.7458 3.9829 1.4884
Vapb 0.1559 0.5479 12.3568 1.9261 0.249 0.6174 6.1496 1.531
Gnas 1.0929 1.165 1.1364 1.2419 1.0777 1.0809 1.0058 1.084
Ctsz 0.9797 1.1794 1.4493 1.4198 1.0538 1.1003 1.0901 1.1488
Atp5e 1.1077 1.1268 1.0348 1.1462 1.2094 1.0468 0.7491 0.906
Slmo2 0.3878 0.8042 4.3005 1.6677 0.3165 0.6743 4.5389 1.4366
Psma7 1.447 1.2508 0.7473 1.0813 1.5313 1.1233 0.5382 0.8241
Adrm1 0.4563 0.858 3.5358 1.6133 0.3902 0.723 3.4325 1.3395
Rps21 0.5423 0.9138 2.8398 1.5399 0.7674 0.945 1.5162 1.1636
Ppdpf 0.3738 0.8177 4.7863 1.7889 0.324 0.6949 4.5986 1.4901
Tpd52l2 0.2237 0.6261 7.8376 1.753 0.2416 0.613 6.4358 1.555
Rgs19 0.489 0.8935 3.3391 1.6327 0.5976 0.8792 2.1649 1.2937
Polr3k 0.37 0.7943 4.6078 1.705 0.3551 0.7052 3.9439 1.4004
Plp2 0.7384 1.0446 2.0016 1.4779 0.8301 1.0227 1.518 1.26
Timm17b 0.2944 0.7307 6.1583 1.8132 0.2744 0.6397 5.4328 1.491
Was 0.2472 0.6561 7.0445 1.7415 0.3507 0.7131 4.1351 1.4501
Rbm3 3.1653 1.0115 0.1021 0.3233 3.1299 0.9912 0.1003 0.3139
Ebp 0.2802 0.7043 6.3158 1.77 0.3877 0.7443 3.6858 1.4289
Cybb 0.586 0.9932 2.873 1.6834 1.045 1.1331 1.1756 1.2285
Mid1ip1 0.285 0.6963 5.9673 1.7009 0.3131 0.6784 4.6956 1.47
Atp6ap2 1.1465 1.1757 1.0515 1.2056 1.1733 1.0589 0.8145 0.9556
Fundc1 0.2223 0.6424 8.3552 1.857 0.2278 0.5946 6.8111 1.5518
Rp2 0.2438 0.6584 7.2942 1.7782 0.2412 0.5999 6.1856 1.4921
Ndufb11 1.0112 1.1447 1.2815 1.2958 1.0432 1.0402 0.9941 1.0371
Cfp 0.974 1.1968 1.5101 1.4707 0.9646 1.0983 1.2964 1.2505
Pgrmc1 0.2112 0.6047 8.1949 1.731 0.2124 0.5608 6.9689 1.4804
Slc25a5 2.8193 1.0985 0.1518 0.428 2.5276 1.0875 0.1851 0.4679
Ube2a 0.5034 0.9017 3.2084 1.6151 0.6036 0.8833 2.1416 1.2926
Rpl39 0.6027 0.9571 2.5221 1.52 0.9728 1.0513 1.168 1.1362
Ndufa1 0.4946 0.8674 3.0756 1.5211 0.6232 0.8728 1.9613 1.2223
Lamp2 0.7438 1.0385 1.9492 1.4499 0.8743 1.0056 1.3229 1.1566
C1galt1c1 0.1913 0.632 10.9082 2.0872 0.2978 0.7292 5.9955 1.7856
Hprt 1.3253 1.213 0.8376 1.1101 1.4247 1.1161 0.6137 0.8743
Mospd1 0.1964 0.5978 9.2673 1.8197 0.2392 0.6048 6.3922 1.5291
Hmgb3 0.447 0.8516 3.6287 1.6222 0.3741 0.7276 3.7823 1.415
Vma21 0.243 0.6437 7.0194 1.7054 0.3046 0.6588 4.6765 1.4247
Cetn2 0.5099 0.896 3.0883 1.5746 0.4435 0.7678 2.9975 1.3293
Bcap31 0.8355 1.0796 1.6695 1.3949 0.8045 0.9601 1.4241 1.1458
Idh3g 0.412 0.8309 4.0679 1.6759 0.4418 0.7827 3.1387 1.3866
Ssr4 0.8144 1.098 1.8177 1.4804 0.9398 1.0446 1.2355 1.1611
Naa10 0.2296 0.6303 7.5382 1.7304 0.2803 0.6376 5.1741 1.4504
Flna 0.1837 0.5803 9.9756 1.833 0.3116 0.699 5.0323 1.5681
Emd 0.3279 0.7404 5.0978 1.6716 0.3757 0.7249 3.7238 1.3989
Rpl10 2.9099 1.0756 0.1366 0.3976 3.2261 0.9455 0.0859 0.2771
Atp6ap1 0.4515 0.8719 3.7298 1.6839 0.5296 0.8387 2.5085 1.3284
Lage3 0.3148 0.7386 5.5034 1.7327 0.286 0.6497 5.161 1.476
Ubl4a 0.2725 0.6862 6.3413 1.728 0.2547 0.6092 5.7235 1.4575
G6pdx 0.1639 0.5467 11.1218 1.8233 0.277 0.659 5.6582 1.5676
Dkc1 0.1695 0.5445 10.314 1.7487 0.171 0.4945 8.368 1.4306
Mpp1 0.1699 0.5484 10.413 1.7695 0.2794 0.6478 5.3736 1.5016
Fundc2 0.3695 0.7913 4.5866 1.6947 0.3276 0.6774 4.2754 1.4007
Vbp1 0.3405 0.7494 4.8431 1.6493 0.4029 0.7483 3.4499 1.3898
Pdk3 0.2088 0.6046 8.3809 1.7503 0.1812 0.5198 8.2316 1.4912
Msn 0.4969 0.9031 3.3024 1.6411 0.597 0.9027 2.2864 1.365
Igbp1 0.1623 0.5636 12.0638 1.9575 0.2347 0.6001 6.5359 1.5343
Nono 0.4504 0.837 3.4527 1.5552 0.4646 0.7783 2.8067 1.3039
Rps4x 2.732 1.1508 0.1774 0.4847 2.9709 1.0157 0.1169 0.3473
Xist 0.283 0.7591 7.194 2.0361 0.8313 1.047 1.5864 1.3188
Pbdc1 0.314 0.7184 5.2343 1.6437 0.3236 0.6696 4.2829 1.3858
Atrx 0.1013 0.4446 19.2658 1.9513 0.3046 0.6703 4.8429 1.4751
Cox7b 0.5656 0.9311 2.7105 1.533 0.6432 0.9021 1.9667 1.2651
Pgk1 0.5534 0.8904 2.5888 1.4326 0.5818 0.842 2.0943 1.2185
Hmgn5 0.2528 0.6584 6.7839 1.7148 0.2113 0.5572 6.9561 1.4695
Sh3bgrl 0.4393 0.8465 3.7131 1.6311 0.3234 0.6823 4.4519 1.4397
Rpl36a 1.3354 1.2473 0.8723 1.1649 1.6826 1.199 0.5078 0.8544
Hnrnph2 0.5652 0.9145 2.6186 1.4799 0.5912 0.8502 2.0682 1.2227
Wbp5 0.2679 0.696 6.7524 1.8086 0.1971 0.5488 7.7559 1.5284
Morf4l2 0.4663 0.8463 3.2936 1.5359 0.5451 0.8291 2.3132 1.2609
Prps1 0.2101 0.603 8.2364 1.7306 0.2216 0.5643 6.4855 1.4372
Tsc22d3 1.1776 1.2376 1.1045 1.3007 1.1906 1.1411 0.9185 1.0936
Psmd10 0.2476 0.6621 7.1513 1.7707 0.2742 0.6449 5.5298 1.5164
Hsd17b10 0.5324 0.9294 3.047 1.6223 0.595 0.8844 2.2096 1.3146
Smc1a 0.1269 0.4709 13.7679 1.7474 0.2794 0.6367 5.1913 1.4506
Sat1 1.1972 1.2442 1.0801 1.2931 1.627 1.1807 0.5267 0.8569
Acot9 0.2582 0.6698 6.7316 1.7378 0.3332 0.6967 4.373 1.4569
Eif1ax 0.4139 0.8202 3.9278 1.6256 0.4196 0.7654 3.3281 1.3964
Sh3kbp1 0.1665 0.5568 11.1889 1.8624 0.2831 0.6637 5.4983 1.5564
Pdha1 0.2247 0.629 7.838 1.7611 0.3073 0.6639 4.6667 1.4343
Rbbp7 0.5273 0.9068 2.957 1.5593 0.4693 0.794 2.862 1.3432
Tmsb4x 4.8683 0.6352 0.017 0.0829 5.0355 0.49 0.0095 0.0477
Hccs 0.1907 0.5829 9.3403 1.7814 0.1966 0.5358 7.43 1.4606
Pex2 0.3067 0.7164 5.4573 1.6736 0.4044 0.7451 3.3944 1.3728
Gm8797 2.5272 0.9787 0.15 0.379 1.6278 1.0377 0.4064 0.6615
Mrps28 0.2857 0.7073 6.1294 1.7512 0.3036 0.6586 4.7066 1.4287
Tpd52 0.4555 0.9203 4.0823 1.8595 0.5977 0.9689 2.6282 1.5708
Impa1 0.269 0.6723 6.2457 1.6802 0.3356 0.6828 4.1387 1.3891
Gyg 0.8681 1.0993 1.6034 1.392 0.8965 1.0135 1.2781 1.1459
Rpl22l1 0.3753 0.8082 4.6371 1.7403 0.5453 0.8771 2.5869 1.4107
Sec62 0.354 0.7757 4.8026 1.7 0.4562 0.7892 2.9925 1.3652
Actl6a 0.2916 0.6949 5.6786 1.6558 0.2765 0.6211 5.0438 1.3948
Ndufb5 0.795 1.0687 1.8073 1.4367 0.7367 0.9548 1.6797 1.2375
Dnajc19 0.4674 0.8768 3.5195 1.6449 0.4437 0.7737 3.0411 1.3492
Atp11b 0.2745 0.7038 6.5745 1.8047 0.4842 0.8319 2.9517 1.4293
Dcun1d1 0.3915 0.831 4.5056 1.7639 0.4874 0.829 2.8928 1.41
Anxa5 1.1415 1.2175 1.1377 1.2986 1.2062 1.1106 0.8478 1.0226
Ndufc1 0.396 0.7918 3.998 1.5833 0.4148 0.7441 3.2177 1.3348
Mgst2 0.2413 0.6686 7.6784 1.8526 0.2198 0.5883 7.1666 1.5749
Ufm1 0.2253 0.6352 7.9519 1.7913 0.2517 0.6146 5.9632 1.5008
Exosc8 0.4264 0.8245 3.7379 1.594 0.4314 0.7695 3.1821 1.3728
Alg5 0.3135 0.7438 5.6285 1.7647 0.3496 0.7085 4.1077 1.4359
Commd2 0.4454 0.8561 3.6942 1.6455 0.4185 0.7658 3.349 1.4015
Serp1 1.349 1.2172 0.8141 1.0983 1.6612 1.1354 0.4671 0.776
Eif2a 0.1816 0.5611 9.5476 1.7338 0.1869 0.525 7.8886 1.4744
Selt 0.4692 0.8724 3.4563 1.6219 0.644 0.9119 2.0048 1.2911
Mbnl1 0.4032 0.8337 4.275 1.7237 0.4495 0.8103 3.2493 1.4606
Gmps 0.319 0.7311 5.2525 1.6756 0.3408 0.6991 4.2084 1.4341
Ssr3 0.2399 0.6446 7.2169 1.7316 0.3351 0.6885 4.2204 1.4144
Ccnl1 0.3151 0.7514 5.6881 1.7921 0.4816 0.8336 2.9956 1.4428
Smc4 0.3814 0.8154 4.5696 1.7429 0.5331 0.8591 2.5968 1.3844
Nmd3 0.1986 0.589 8.7967 1.747 0.1978 0.5333 7.267 1.4377
Pdcd10 0.6434 0.9984 2.4082 1.5494 0.675 0.9155 1.8391 1.2415
Ppid 0.267 0.6783 6.4544 1.7231 0.2782 0.6266 5.0741 1.4115
Rps3a1 2.8891 1.1195 0.1502 0.4338 3.0201 1.0378 0.1181 0.3566
Hdgf 0.5986 0.9442 2.4879 1.4893 0.5865 0.8711 2.2059 1.2938
Mrpl24 0.34 0.7708 5.141 1.7477 0.3874 0.7415 3.6629 1.419
Apoa1bp 0.3941 0.8105 4.2287 1.6667 0.3414 0.6989 4.1918 1.4309
Cct3 0.2683 0.6659 6.1585 1.6526 0.3041 0.6551 4.6415 1.4114
Glmp 0.4142 0.8372 4.0858 1.6923 0.4453 0.7835 3.0963 1.3787
Pmf1 0.5574 0.9313 2.7922 1.5562 0.5302 0.8449 2.5396 1.3465
Sema4a 0.2402 0.6559 7.4559 1.7911 0.3398 0.7083 4.3435 1.4761
Lamtor2 0.8142 1.0792 1.7572 1.4306 0.9132 1.006 1.2134 1.1081
Ssr2 0.5964 0.9687 2.6386 1.5736 0.5929 0.8864 2.2349 1.3252
Dap3 0.1963 0.5834 8.8293 1.7336 0.2 0.5454 7.4367 1.4874
Fdps 0.7208 1.0174 1.9924 1.436 0.751 0.9672 1.6588 1.2457
Scamp3 0.2311 0.6425 7.7288 1.7861 0.2006 0.5528 7.5913 1.5232
Mtx1 0.204 0.6043 8.772 1.7899 0.1997 0.5513 7.6216 1.5221
Krtcap2 0.6644 1.011 2.3158 1.5385 0.6777 0.9143 1.8203 1.2336
Dpm3 0.3827 0.7947 4.3123 1.6503 0.4153 0.7528 3.2865 1.3648
Slc50a1 0.2566 0.6873 7.1759 1.8412 0.2728 0.646 5.6061 1.5295
Cks1b 0.5583 0.964 2.9815 1.6645 0.5185 0.8719 2.8273 1.4661
Tpm3 1.534 1.1678 0.5796 0.889 1.7242 1.0559 0.375 0.6466
Rps27 2.58 1.0723 0.1727 0.4457 2.8096 0.9018 0.103 0.2894
Jtb 0.3132 0.7559 5.8231 1.824 0.3297 0.6972 4.4725 1.4745
Ilf2 0.3563 0.7701 4.672 1.6646 0.4056 0.7405 3.3327 1.3518
Snapin 0.2696 0.6938 6.6226 1.7855 0.2969 0.6769 5.198 1.5433
Chtop 0.2282 0.6303 7.6309 1.7411 0.2406 0.5892 5.9958 1.4428
S100a1 0.556 0.9451 2.8897 1.6066 0.4451 0.7928 3.1723 1.412
S100a13 0.5569 0.9353 2.82 1.5706 0.7434 0.9542 1.6476 1.2248
S100a6 0.9143 1.3237 2.0962 1.9165 1.4614 1.5771 1.1647 1.7021
S100a8 3.7569 2.3645 0.3961 1.4881 3.8705 2.3523 0.3694 1.4297
S100a9 3.1703 2.2964 0.5247 1.6634 3.5921 2.363 0.4327 1.5545
Gm9774 0.2591 0.6566 6.42 1.6637 0.158 0.4821 9.3051 1.4706
S100a11 2.1433 1.2885 0.3614 0.7746 2.551 1.0852 0.181 0.4617
S100a10 0.3318 0.8567 6.6666 2.2119 0.3969 0.8911 5.0411 2.0008
Psmb4 0.6132 0.9882 2.5974 1.5926 0.6354 0.9016 2.0132 1.2792
Selenbp1 0.1597 0.5227 10.7165 1.711 0.257 0.6149 5.7248 1.4713
Psmd4 0.6428 0.982 2.3341 1.5003 0.7021 0.9229 1.7277 1.2131
Vps72 0.2346 0.6486 7.6401 1.7927 0.2593 0.6162 5.6462 1.4642
Tnfaip8l2 0.2714 0.7201 7.04 1.9107 0.4774 0.863 3.2678 1.5601
Cdc42se1 0.2356 0.6728 8.1527 1.9211 0.334 0.7318 4.8001 1.6033
Cers2 0.453 0.8514 3.5316 1.6 0.4462 0.7707 2.9828 1.331
Ctss 0.5922 1.169 3.8963 2.3075 0.5704 1.1093 3.7816 2.1572
Ensa 0.2468 0.6741 7.4578 1.8409 0.1907 0.5541 8.442 1.6099
Mcl1 0.2483 0.6853 7.6141 1.891 0.2911 0.6933 5.6731 1.6512
Mrps21 0.4395 0.8439 3.6865 1.6203 0.5486 0.8493 2.3968 1.3148
BC028528 0.3842 0.8245 4.6045 1.7692 0.4567 0.8226 3.2441 1.4817
Anp32e 0.8589 1.0914 1.6147 1.3868 0.8724 1.0288 1.3906 1.2132
Sf3b4 0.4603 0.8518 3.4246 1.5763 0.3786 0.7309 3.7267 1.411
Bola1 0.1929 0.5865 9.2393 1.7826 0.2268 0.5787 6.5088 1.4764
Txnip 0.2344 0.6694 8.1568 1.9119 0.3205 0.7081 4.8823 1.5647
Polr3gl 0.1986 0.6028 9.2128 1.8296 0.1871 0.5455 8.503 1.5906
Rbm8a 0.9752 1.1256 1.3321 1.2991 0.865 0.9875 1.3033 1.1274
Rnf115 0.5211 0.8998 2.9815 1.5537 0.5088 0.8312 2.6684 1.3578
Sec22b 0.2853 0.7058 6.1216 1.7462 0.2743 0.6364 5.3842 1.4766
Atp1a1 0.3331 0.7436 4.9851 1.6603 0.3415 0.7 4.2032 1.4352
Sike1 0.1724 0.5618 10.6247 1.8313 0.2119 0.5732 7.3163 1.5505
Bcas2 0.5492 0.9254 2.8398 1.5595 0.4489 0.7749 2.9802 1.3377
Capza1 0.5563 0.9134 2.6957 1.4997 0.5737 0.859 2.2424 1.2864
Rap1a 0.7361 1.0265 1.9447 1.4315 0.8868 0.9993 1.2698 1.1261
Atp5f1 1.5033 1.2063 0.6439 0.968 1.4714 1.0843 0.543 0.799
Chil3 3.9141 2.2033 0.3169 1.2403 4.8489 1.7561 0.1312 0.636
Cept1 0.1411 0.511 13.1156 1.8505 0.2429 0.6177 6.4669 1.5708
Cd53 1.3837 1.243 0.8069 1.1165 1.7804 1.0926 0.3766 0.6705
Lamtor5 0.5338 0.9337 3.0602 1.6334 0.5649 0.8606 2.3209 1.3111
Gstm1 0.9107 1.1586 1.6185 1.4739 0.9101 1.1163 1.5047 1.3694
Gnai3 0.4574 0.8549 3.4928 1.5976 0.5419 0.8305 2.3487 1.2728
Psma5 0.5688 0.9355 2.7046 1.5384 0.7609 0.9469 1.5487 1.1784
Taf13 0.2951 0.7256 6.0441 1.7839 0.2718 0.65 5.7185 1.5543
Hiat1 0.3582 0.7758 4.6908 1.6802 0.3641 0.7163 3.8704 1.4092
Gclm 0.1948 0.5908 9.1938 1.7914 0.3089 0.6786 4.8266 1.4908
1810037I17Rik 0.9566 1.1327 1.402 1.3412 0.8689 1.0123 1.3573 1.1793
Tifa 0.3568 0.8249 5.3444 1.907 0.3412 0.7399 4.7031 1.6046
Gar1 0.2811 0.6914 6.0486 1.7004 0.2762 0.6219 5.0692 1.4002
Ostc 0.7819 1.0686 1.868 1.4605 0.8256 0.9909 1.4404 1.1892
Rpl34 2.0663 1.1743 0.323 0.6673 2.2932 1.0272 0.2007 0.4601
Sgms2 0.1906 0.5824 9.3414 1.7802 0.2444 0.6133 6.2987 1.5392
Aimp1 0.2461 0.6652 7.304 1.7977 0.2768 0.6314 5.2031 1.4403
Ppa2 0.1503 0.5209 12.0091 1.805 0.2089 0.5641 7.2874 1.5227
Cisd2 0.3769 0.8043 4.5537 1.7164 0.3955 0.7404 3.5057 1.3863
Ube2d3 2.4235 1.1143 0.2114 0.5124 2.2357 0.9759 0.1905 0.426
Nfkb1 0.3889 0.8466 4.7382 1.8427 0.3406 0.7154 4.4128 1.5029
Ppp3ca 0.3807 0.8048 4.4683 1.7012 0.4687 0.8105 2.9904 1.4017
H2afz 2.9565 1.3592 0.2114 0.6249 2.9263 1.2759 0.1901 0.5563
Lamtor3 0.2753 0.7016 6.4922 1.7876 0.324 0.6843 4.4601 1.4451
Dapp1 0.2049 0.6194 9.1407 1.8726 0.2407 0.6159 6.5445 1.5756
Adh5 0.3123 0.7318 5.4897 1.7146 0.3493 0.7056 4.0802 1.4253
Eif4e 0.7894 1.0495 1.7678 1.3954 0.707 0.9183 1.6871 1.1927
Gtf2b 0.2496 0.6655 7.1075 1.7742 0.3377 0.6982 4.2735 1.4432
Lmo4 0.3997 0.8375 4.3898 1.7546 0.5078 0.8593 2.8643 1.4544
Sep15 1.2977 1.1732 0.8173 1.0606 1.1774 1.0443 0.7866 0.9262
Sh3glb1 0.2992 0.7704 6.6283 1.9835 0.3383 0.7762 5.2631 1.7807
Bcl10 0.394 0.8153 4.2824 1.6871 0.4076 0.7698 3.5672 1.4539
Gng5 1.1734 1.1741 1.0011 1.1747 1.2843 1.0563 0.6764 0.8687
Rpf1 0.2302 0.6429 7.7983 1.7954 0.2498 0.6065 5.8932 1.4724
Fubp1 0.1937 0.5776 8.8969 1.723 0.2434 0.594 5.9569 1.4498
Pigk 0.2198 0.6226 8.0228 1.7636 0.1932 0.5396 7.8023 1.5074
Acadm 0.2529 0.6796 7.2244 1.8267 0.2478 0.6181 6.2233 1.5419
Srsf11 0.4974 0.9095 3.3437 1.6631 0.6213 0.902 2.1079 1.3096
Wls 0.1481 0.5249 12.5546 1.8598 0.2219 0.5804 6.8429 1.5184
Lyn 0.282 0.7098 6.3358 1.7867 0.4368 0.795 3.3127 1.447
Rps20 1.2478 1.2236 0.9617 1.2 1.4649 1.1538 0.6204 0.9088
Gm11808 1.5204 1.1751 0.5973 0.9082 1.5692 1.0839 0.4771 0.7487
Penk 0.2302 0.6894 8.971 2.0649 0.2113 0.5982 8.0174 1.6939
Sdcbp 1.1851 1.1661 0.9682 1.1474 1.2308 1.0572 0.7378 0.9081
Rab2a 1.1637 1.1926 1.0502 1.2221 1.1764 1.0696 0.8268 0.9726
Plekhf2 0.3986 0.8159 4.1905 1.6702 0.3649 0.7198 3.8903 1.4198
Ggh 0.3261 0.766 5.5175 1.7993 0.3738 0.7554 4.0832 1.5264
Pnisr 0.1898 0.5939 9.7916 1.8584 0.2198 0.5912 7.2312 1.5897
Pnrc1 0.3807 0.8279 4.7289 1.8003 0.4624 0.8334 3.2483 1.502
Akirin2 0.22 0.6214 7.9804 1.7555 0.272 0.633 5.4143 1.4729
Ndufb6 0.4469 0.8487 3.6065 1.6118 0.4438 0.7822 3.1064 1.3785
Dnaja1 0.6678 0.9959 2.2238 1.4851 0.7486 0.9559 1.6302 1.2205
Smu1 0.388 0.8001 4.2524 1.6498 0.3812 0.7276 3.644 1.3889
Bag1 0.8108 1.0734 1.7525 1.421 0.7567 0.9473 1.5671 1.1859
Chmp5 0.427 0.8351 3.8249 1.6333 0.5065 0.8268 2.6649 1.3497
Ube2r2 0.2015 0.6282 9.7149 1.9579 0.2579 0.6563 6.4784 1.6705
Dctn3 0.7335 1.0503 2.0503 1.5039 0.6805 0.9242 1.8447 1.2553
Vcp 0.4331 0.8365 3.7296 1.6154 0.5604 0.8496 2.2984 1.2881
Stoml2 0.3757 0.7894 4.4151 1.6587 0.3731 0.7255 3.7799 1.4104
Tln1 0.2262 0.6528 8.3302 1.8841 0.5928 0.9028 2.3196 1.375
Hint2 0.4044 0.8311 4.2229 1.7079 0.4571 0.7969 3.0393 1.3893
Glipr2 0.4593 0.8818 3.6852 1.6928 0.6879 0.9878 2.0622 1.4186
Clta 1.0687 1.159 1.1762 1.257 1.3654 1.0981 0.6467 0.883
Tomm5 0.3658 0.7926 4.6945 1.7173 0.3985 0.7537 3.5759 1.4252
Exosc3 0.2599 0.6705 6.6535 1.7294 0.325 0.6763 4.331 1.4074
Ccdc180 0.2924 0.7234 6.1212 1.7899 0.5386 0.8758 2.6442 1.4242
Anp32b 1.2038 1.2029 0.9984 1.2019 1.1555 1.1285 0.9537 1.102
Nans 0.3936 0.8095 4.2298 1.6649 0.4175 0.7647 3.3554 1.4008
Sec61b 1.1423 1.1786 1.0645 1.216 1.3296 1.0916 0.674 0.8962
Erp44 0.2963 0.7101 5.7444 1.702 0.3462 0.7085 4.1872 1.4497
Smc2 0.1474 0.5093 11.9292 1.759 0.2382 0.6116 6.5921 1.5704
Nipsnap3b 0.5359 0.9102 2.8842 1.5458 0.6252 0.882 1.9903 1.2443
Tmem38b 0.5253 0.9222 3.0825 1.6191 0.6739 0.9295 1.9026 1.2821
Rad23b 0.3062 0.715 5.4532 1.6698 0.3662 0.7187 3.8508 1.4104
Txn1 1.0207 1.1426 1.253 1.279 1.2008 1.0873 0.8199 0.9845
Ptgr1 0.2437 0.6705 7.5664 1.8442 0.4127 0.7811 3.5828 1.4784
Gng10 0.3482 0.7709 4.902 1.7068 0.2134 0.5677 7.0771 1.5102
Ptbp3 0.2398 0.6493 7.3318 1.7582 0.4242 0.7544 3.1623 1.3415
Hsdl2 0.2914 0.709 5.9209 1.7252 0.2974 0.6452 4.7073 1.3998
Cdc26 0.3714 0.8016 4.6594 1.7303 0.4366 0.7848 3.2304 1.4105
Atp6v1g1 1.2056 1.1942 0.9813 1.183 1.2223 1.1032 0.8146 0.9956
Tmem261 0.1951 0.5991 9.4258 1.8394 0.2416 0.5991 6.1507 1.4858
Rraga 0.218 0.6401 8.6229 1.8795 0.2549 0.6307 6.122 1.5606
Plin2 0.3411 0.7756 5.1711 1.7637 0.37 0.7572 4.1897 1.55
Rps6 3.4091 0.9882 0.084 0.2865 3.5099 0.9071 0.0668 0.2344
Jun 2.1132 1.3297 0.3959 0.8367 2.2279 1.221 0.3004 0.6692
Tm2d1 0.3321 0.775 5.4474 1.8088 0.2869 0.6659 5.3864 1.5454
Usp1 0.2254 0.6246 7.6779 1.7307 0.2914 0.6504 4.9826 1.4518
Leprot 0.2507 0.6806 7.372 1.8478 0.2738 0.6536 5.6978 1.5602
Tctex1d1 0.2136 0.642 9.0313 1.9293 0.3302 0.7088 4.6073 1.5215
Tmem59 1.1825 1.1865 1.0067 1.1905 1.1746 1.0556 0.8076 0.9486
Yipf1 0.171 0.567 10.9941 1.8801 0.2177 0.5865 7.2608 1.5804
Magoh 0.45 0.8531 3.5945 1.6174 0.4685 0.7953 2.882 1.3502
Scp2 2.0992 1.193 0.323 0.6781 1.8828 1.0803 0.3292 0.6199
Prpf38a 0.2597 0.6593 6.444 1.6736 0.2472 0.5842 5.5866 1.3808
Btf3l4 0.3085 0.7139 5.3541 1.6518 0.3528 0.705 3.9927 1.4088
Osbpl9 0.2095 0.6185 8.7137 1.8258 0.2817 0.668 5.6221 1.5839
Cdkn2c 0.5738 0.9716 2.8675 1.6452 1.0176 1.1317 1.2367 1.2585
Faf1 0.1851 0.57 9.4779 1.7547 0.2189 0.5744 6.8876 1.5075
Cmpk1 0.9209 1.0816 1.3793 1.2703 1.006 1.0255 1.039 1.0453
Uqcrh 0.8643 1.0896 1.5893 1.3736 1.0397 1.0377 0.9961 1.0357
Nasp 0.2487 0.6526 6.8857 1.7126 0.232 0.5828 6.31 1.464
Akr1a1 0.7051 1.0369 2.1628 1.5249 0.8089 0.9842 1.4802 1.1974
Prdx1 0.9384 1.2256 1.7059 1.6007 0.9695 1.1306 1.3598 1.3183
Rps8 2.6431 1.1869 0.2017 0.533 2.9163 1.0851 0.1384 0.4037
Atp6v0b 1.3211 1.2088 0.8372 1.106 1.5191 1.0773 0.5029 0.764
Med8 0.3146 0.7339 5.4426 1.7121 0.3351 0.6998 4.3618 1.4616
Elovl1 0.3244 0.7535 5.3945 1.75 0.3122 0.6703 4.6101 1.4392
Cdc20 0.2964 0.7513 6.4235 1.904 0.2288 0.6234 7.4276 1.6991
Ebna1bp2 0.3643 0.7811 4.596 1.6746 0.4453 0.7949 3.1862 1.4189
Svbp 0.2598 0.6848 6.9468 1.805 0.2488 0.6056 5.9245 1.474
Ybx1 2.8545 1.0387 0.1324 0.378 2.4037 1.0662 0.1967 0.4729
Nfyc 0.2155 0.6114 8.0465 1.7344 0.2389 0.5961 6.2283 1.4877
Ppt1 0.2328 0.6537 7.8844 1.8355 0.236 0.6105 6.6906 1.579
Cap1 0.2964 0.7134 5.7923 1.7169 0.4615 0.8001 3.0058 1.3872
